2019-04-11 15:05:21 INFO - Client request 72 requesting room L221 on day 0, timeslot 9-10, at 6 seconds 
2019-04-11 15:05:21 INFO - Client request 79 requesting room L221 on day 0, timeslot 12-1, at 6 seconds 
2019-04-11 15:05:21 INFO - Client request 80 requesting room L221 on day 0, timeslot 9-10, at 6 seconds 
2019-04-11 15:05:21 INFO - Client request 81 requesting room L221 on day 0, timeslot 9-10, at 6 seconds 
2019-04-11 15:05:22 INFO - Client request 82 requesting room L221 on day 0, timeslot 10-11, at 7 seconds 
2019-04-11 15:05:22 INFO - Client request 83 requesting room L221 on day 0, timeslot 12-1, at 7 seconds 
2019-04-11 15:05:22 INFO - Client request 84 requesting room L221 on day 0, timeslot 12-1, at 7 seconds 
2019-04-11 15:05:22 INFO - Client request 85 requesting room L221 on day 0, timeslot 12-1, at 7 seconds 
2019-04-11 15:05:22 INFO - Client request 86 requesting room L221 on day 0, timeslot 12-1, at 7 seconds 
2019-04-11 15:05:22 INFO - Client request 87 requesting room L221 on day 0, timeslot 9-10, at 7 seconds 
2019-04-11 15:05:23 INFO - Client request 88 requesting room L221 on day 0, timeslot 9-10, at 8 seconds 
2019-04-11 15:05:23 INFO - Client request 89 requesting room L221 on day 0, timeslot 12-1, at 8 seconds 
2019-04-11 15:05:23 INFO - Client request 90 requesting room L221 on day 0, timeslot 10-11, at 8 seconds 
2019-04-11 15:05:23 INFO - Client request 91 requesting room L221 on day 0, timeslot 12-1, at 8 seconds 
2019-04-11 15:05:23 INFO - Client request 92 requesting room L221 on day 0, timeslot 12-1, at 8 seconds 
2019-04-11 15:05:23 INFO - Client request 93 requesting room L221 on day 0, timeslot 10-11, at 8 seconds 
2019-04-11 15:05:23 INFO - Client request 95 requesting room L221 on day 0, timeslot 12-1, at 8 seconds 
2019-04-11 15:05:23 INFO - Client request 94 requesting room L221 on day 0, timeslot 12-1, at 8 seconds 
2019-04-11 15:05:23 INFO - Client request 96 requesting room L221 on day 0, timeslot 11-12, at 8 seconds 
2019-04-11 15:05:24 INFO - Client request 97 requesting room L221 on day 0, timeslot 12-1, at 9 seconds 
2019-04-11 15:05:24 INFO - Client request 98 requesting room L221 on day 0, timeslot 11-12, at 9 seconds 
2019-04-11 15:05:24 INFO - Client request 99 requesting room L221 on day 0, timeslot 9-10, at 9 seconds 
2019-04-11 15:05:24 INFO - Client request 100 requesting room L221 on day 0, timeslot 11-12, at 9 seconds 
2019-04-11 15:05:24 INFO - Client request 101 requesting room L221 on day 0, timeslot 12-1, at 9 seconds 
2019-04-11 15:05:24 INFO - Client request 102 requesting room L221 on day 0, timeslot 10-11, at 9 seconds 
2019-04-11 15:05:24 INFO - Client request 103 requesting room L221 on day 0, timeslot 10-11, at 9 seconds 
2019-04-11 15:05:24 INFO - Client request 104 requesting room L221 on day 0, timeslot 9-10, at 9 seconds 
2019-04-11 15:05:24 INFO - Client request 106 requesting room L221 on day 0, timeslot 12-1, at 9 seconds 
2019-04-11 15:05:24 INFO - Client request 99 requesting room L221 on day 0, timeslot 9-10, at 9 seconds 
2019-04-11 15:05:24 INFO - Client request 109 requesting room L221 on day 0, timeslot 11-12, at 9 seconds 
2019-04-11 15:05:24 INFO - Client request 105 requesting room L221 on day 0, timeslot 12-1, at 9 seconds 
2019-04-11 15:05:24 INFO - Client request 97 requesting room L221 on day 0, timeslot 12-1, at 9 seconds 
2019-04-11 15:05:24 INFO - Client request 108 requesting room L221 on day 0, timeslot 9-10, at 9 seconds 
2019-04-11 15:05:24 INFO - Client request 107 requesting room L221 on day 0, timeslot 11-12, at 9 seconds 
2019-04-11 15:05:24 INFO - Client request 110 requesting room L221 on day 0, timeslot 10-11, at 9 seconds 
2019-04-11 15:05:25 INFO - Client request 111 requesting room L221 on day 0, timeslot 11-12, at 10 seconds 
2019-04-11 15:05:25 INFO - Client request 114 requesting room L221 on day 0, timeslot 11-12, at 10 seconds 
2019-04-11 15:05:25 INFO - Client request 115 requesting room L221 on day 0, timeslot 10-11, at 10 seconds 
2019-04-11 15:05:25 INFO - Client request 116 requesting room L221 on day 0, timeslot 10-11, at 10 seconds 
2019-04-11 15:05:25 INFO - Client request 117 requesting room L221 on day 0, timeslot 11-12, at 10 seconds 
2019-04-11 15:05:25 INFO - Client request 120 requesting room L221 on day 0, timeslot 10-11, at 10 seconds 
2019-04-11 15:05:25 INFO - Client request 119 requesting room L221 on day 0, timeslot 12-1, at 10 seconds 
2019-04-11 15:05:25 INFO - Client request 121 requesting room L221 on day 0, timeslot 9-10, at 10 seconds 
2019-04-11 15:05:25 INFO - Client request 118 requesting room L221 on day 0, timeslot 9-10, at 10 seconds 
2019-04-11 15:05:25 INFO - Client request 122 requesting room L221 on day 0, timeslot 12-1, at 10 seconds 
2019-04-11 15:05:26 INFO - Client request 123 requesting room L221 on day 0, timeslot 11-12, at 11 seconds 
2019-04-11 15:05:26 INFO - Client request 124 requesting room L221 on day 0, timeslot 11-12, at 11 seconds 
2019-04-11 15:05:26 INFO - Client request 125 requesting room L221 on day 0, timeslot 10-11, at 11 seconds 
2019-04-11 15:05:26 INFO - Client request 125 requesting room L221 on day 0, timeslot 11-12, at 11 seconds 
2019-04-11 15:05:26 INFO - Client request 126 requesting room L221 on day 0, timeslot 12-1, at 11 seconds 
2019-04-11 15:05:26 INFO - Client request 127 requesting room L221 on day 0, timeslot 9-10, at 11 seconds 
2019-04-11 15:05:27 INFO - Client request 128 requesting room L221 on day 0, timeslot 11-12, at 12 seconds 
2019-04-11 15:05:27 INFO - Client request 129 requesting room L221 on day 0, timeslot 12-1, at 12 seconds 
2019-04-11 15:05:27 INFO - Client request 130 requesting room L221 on day 0, timeslot 11-12, at 12 seconds 
2019-04-11 15:05:27 INFO - Client request 131 requesting room L221 on day 0, timeslot 11-12, at 12 seconds 
2019-04-11 15:05:27 INFO - Client request 132 requesting room L221 on day 0, timeslot 12-1, at 12 seconds 
2019-04-11 15:05:27 INFO - Client request 133 requesting room L221 on day 0, timeslot 10-11, at 12 seconds 
2019-04-11 15:05:27 INFO - Client request 134 requesting room L221 on day 0, timeslot 10-11, at 12 seconds 
2019-04-11 15:05:27 INFO - Client request 136 requesting room L221 on day 0, timeslot 10-11, at 12 seconds 
2019-04-11 15:05:27 INFO - Client request 135 requesting room L221 on day 0, timeslot 9-10, at 12 seconds 
2019-04-11 15:05:27 INFO - Client request 128 requesting room L221 on day 0, timeslot 12-1, at 12 seconds 
2019-04-11 15:05:27 INFO - Client request 137 requesting room L221 on day 0, timeslot 11-12, at 12 seconds 
2019-04-11 15:05:27 INFO - Client request 129 requesting room L221 on day 0, timeslot 11-12, at 12 seconds 
2019-04-11 15:05:27 INFO - Client request 138 requesting room L221 on day 0, timeslot 11-12, at 12 seconds 
2019-04-11 15:05:28 INFO - Client request 139 requesting room L221 on day 0, timeslot 11-12, at 13 seconds 
2019-04-11 15:05:28 INFO - Client request 142 requesting room L221 on day 0, timeslot 11-12, at 13 seconds 
2019-04-11 15:05:28 INFO - Client request 143 requesting room L221 on day 0, timeslot 9-10, at 13 seconds 
2019-04-11 15:05:28 INFO - Client request 145 requesting room L221 on day 0, timeslot 11-12, at 13 seconds 
2019-04-11 15:05:28 INFO - Client request 144 requesting room L221 on day 0, timeslot 12-1, at 13 seconds 
2019-04-11 15:05:28 INFO - Client request 146 requesting room L221 on day 0, timeslot 9-10, at 13 seconds 
2019-04-11 15:05:28 INFO - Client request 147 requesting room L221 on day 0, timeslot 10-11, at 13 seconds 
2019-04-11 15:05:28 INFO - Client request 148 requesting room L221 on day 0, timeslot 9-10, at 13 seconds 
2019-04-11 15:05:28 INFO - Client request 149 requesting room L221 on day 0, timeslot 9-10, at 13 seconds 
2019-04-11 15:05:28 INFO - Client request 150 requesting room L221 on day 0, timeslot 11-12, at 13 seconds 
2019-04-11 15:05:28 INFO - Client request 151 requesting room L221 on day 0, timeslot 10-11, at 13 seconds 
2019-04-11 15:05:29 INFO - Client request 152 requesting room L221 on day 0, timeslot 11-12, at 14 seconds 
2019-04-11 15:05:29 INFO - Client request 153 requesting room L221 on day 0, timeslot 9-10, at 14 seconds 
2019-04-11 15:05:29 INFO - Client request 154 requesting room L221 on day 0, timeslot 10-11, at 14 seconds 
2019-04-11 15:05:29 INFO - Client request 155 requesting room L221 on day 0, timeslot 9-10, at 14 seconds 
2019-04-11 15:05:29 INFO - Client request 156 requesting room L221 on day 0, timeslot 12-1, at 14 seconds 
2019-04-11 15:05:29 INFO - Client request 157 requesting room L221 on day 0, timeslot 10-11, at 14 seconds 
2019-04-11 15:05:29 INFO - Client request 153 requesting room L221 on day 0, timeslot 9-10, at 14 seconds 
2019-04-11 15:05:30 INFO - Client request 159 requesting room L221 on day 0, timeslot 10-11, at 15 seconds 
2019-04-11 15:05:30 INFO - Client request 160 requesting room L221 on day 0, timeslot 10-11, at 15 seconds 
2019-04-11 15:05:30 INFO - Client request 161 requesting room L221 on day 0, timeslot 12-1, at 15 seconds 
2019-04-11 15:05:30 INFO - Client request 162 requesting room L221 on day 0, timeslot 10-11, at 15 seconds 
2019-04-11 15:05:30 INFO - Client request 163 requesting room L221 on day 0, timeslot 10-11, at 15 seconds 
2019-04-11 15:05:30 INFO - Client request 164 requesting room L221 on day 0, timeslot 9-10, at 15 seconds 
2019-04-11 15:05:31 INFO - Client request 165 requesting room L221 on day 0, timeslot 12-1, at 16 seconds 
2019-04-11 15:05:31 INFO - Client request 166 requesting room L221 on day 0, timeslot 10-11, at 16 seconds 
2019-04-11 15:05:31 INFO - Client request 167 requesting room L221 on day 0, timeslot 9-10, at 16 seconds 
2019-04-11 15:05:31 INFO - Client request 168 requesting room L221 on day 0, timeslot 9-10, at 16 seconds 
2019-04-11 15:05:31 INFO - Client request 169 requesting room L221 on day 0, timeslot 11-12, at 16 seconds 
2019-04-11 15:05:31 INFO - Client request 170 requesting room L221 on day 0, timeslot 11-12, at 16 seconds 
2019-04-11 15:05:31 INFO - Client request 171 requesting room L221 on day 0, timeslot 11-12, at 16 seconds 
2019-04-11 15:05:31 INFO - Client request 165 requesting room L221 on day 0, timeslot 11-12, at 16 seconds 
2019-04-11 15:05:31 INFO - Client request 172 requesting room L221 on day 0, timeslot 11-12, at 16 seconds 
2019-04-11 15:05:31 INFO - Client request 174 requesting room L221 on day 0, timeslot 12-1, at 16 seconds 
2019-04-11 15:05:31 INFO - Client request 175 requesting room L221 on day 0, timeslot 12-1, at 16 seconds 
2019-04-11 15:05:31 INFO - Client request 166 requesting room L221 on day 0, timeslot 11-12, at 16 seconds 
2019-04-11 15:05:31 INFO - Client request 176 requesting room L221 on day 0, timeslot 11-12, at 16 seconds 
2019-04-11 15:05:31 INFO - Client request 177 requesting room L221 on day 0, timeslot 12-1, at 16 seconds 
2019-04-11 15:05:32 INFO - Client request 178 requesting room L221 on day 0, timeslot 9-10, at 17 seconds 
2019-04-11 15:05:32 INFO - Client request 179 requesting room L221 on day 0, timeslot 10-11, at 17 seconds 
2019-04-11 15:05:32 INFO - Client request 180 requesting room L221 on day 0, timeslot 9-10, at 17 seconds 
2019-04-11 15:05:32 INFO - Client request 181 requesting room L221 on day 0, timeslot 9-10, at 17 seconds 
2019-04-11 15:05:32 INFO - Client request 182 requesting room L221 on day 0, timeslot 11-12, at 17 seconds 
2019-04-11 15:05:32 INFO - Client request 183 requesting room L221 on day 0, timeslot 12-1, at 17 seconds 
2019-04-11 15:05:32 INFO - Client request 180 requesting room L221 on day 0, timeslot 11-12, at 17 seconds 
2019-04-11 15:05:33 INFO - Client request 185 requesting room L221 on day 0, timeslot 9-10, at 18 seconds 
2019-04-11 15:05:33 INFO - Client request 186 requesting room L221 on day 0, timeslot 9-10, at 18 seconds 
2019-04-11 15:05:33 INFO - Client request 187 requesting room L221 on day 0, timeslot 11-12, at 18 seconds 
2019-04-11 15:05:33 INFO - Client request 188 requesting room L221 on day 0, timeslot 11-12, at 18 seconds 
2019-04-11 15:05:33 INFO - Client request 189 requesting room L221 on day 0, timeslot 12-1, at 18 seconds 
2019-04-11 15:05:33 INFO - Client request 186 requesting room L221 on day 0, timeslot 11-12, at 18 seconds 
2019-04-11 15:05:33 INFO - Client request 190 requesting room L221 on day 0, timeslot 9-10, at 18 seconds 
2019-04-11 15:05:34 INFO - Client request 192 requesting room L221 on day 0, timeslot 12-1, at 19 seconds 
2019-04-11 15:05:34 INFO - Client request 191 requesting room L221 on day 0, timeslot 9-10, at 19 seconds 
2019-04-11 15:05:34 INFO - Client request 193 requesting room L221 on day 0, timeslot 11-12, at 19 seconds 
2019-04-11 15:05:34 INFO - Client request 194 requesting room L221 on day 0, timeslot 10-11, at 19 seconds 
2019-04-11 15:05:34 INFO - Client request 195 requesting room L221 on day 0, timeslot 11-12, at 19 seconds 
2019-04-11 15:05:34 INFO - Client request 196 requesting room L221 on day 0, timeslot 12-1, at 19 seconds 
2019-04-11 15:05:34 INFO - Client request 197 requesting room L221 on day 0, timeslot 10-11, at 19 seconds 
2019-04-11 15:05:34 INFO - Client request 194 requesting room L221 on day 0, timeslot 10-11, at 19 seconds 
2019-04-11 15:05:34 INFO - Client request 198 requesting room L221 on day 0, timeslot 9-10, at 19 seconds 
2019-04-11 15:05:35 INFO - Client request 195 requesting room L221 on day 0, timeslot 10-11, at 20 seconds 
2019-04-11 15:05:35 INFO - Client request 200 requesting room L221 on day 0, timeslot 12-1, at 20 seconds 
2019-04-11 15:05:35 INFO - Client request 201 requesting room L221 on day 0, timeslot 11-12, at 20 seconds 
2019-04-11 15:05:35 INFO - Client request 202 requesting room L221 on day 0, timeslot 11-12, at 20 seconds 
2019-04-11 15:05:35 INFO - Client request 195 requesting room L221 on day 0, timeslot 11-12, at 20 seconds 
2019-04-11 15:05:35 INFO - Client request 203 requesting room L221 on day 0, timeslot 12-1, at 20 seconds 
2019-04-11 15:05:35 INFO - Client request 204 requesting room L221 on day 0, timeslot 11-12, at 20 seconds 
2019-04-11 15:05:35 INFO - Client request 205 requesting room L221 on day 0, timeslot 10-11, at 20 seconds 
2019-04-11 15:05:35 INFO - Client request 208 requesting room L221 on day 0, timeslot 9-10, at 20 seconds 
2019-04-11 15:05:35 INFO - Client request 207 requesting room L221 on day 0, timeslot 12-1, at 20 seconds 
2019-04-11 15:05:35 INFO - Client request 195 requesting room L221 on day 0, timeslot 10-11, at 20 seconds 
2019-04-11 15:05:35 INFO - Client request 200 requesting room L221 on day 0, timeslot 12-1, at 20 seconds 
2019-04-11 15:05:35 INFO - Client request 211 requesting room L221 on day 0, timeslot 11-12, at 20 seconds 
2019-04-11 15:05:35 INFO - Client request 204 requesting room L221 on day 0, timeslot 12-1, at 20 seconds 
2019-04-11 15:05:35 INFO - Client request 212 requesting room L221 on day 0, timeslot 11-12, at 20 seconds 
