2019-04-11 23:09:30 INFO - Client request 80 requesting room XG14 on day 2, timeslot 10-11, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 73 requesting room T101 on day 4, timeslot 10-11, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 84 requesting room L221 on day 4, timeslot 10-11, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 83 requesting room CG04 on day 1, timeslot 12-1, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 86 requesting room L221 on day 1, timeslot 10-11, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 85 requesting room CG04 on day 6, timeslot 11-12, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 87 requesting room CG04 on day 6, timeslot 12-1, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 89 requesting room XG14 on day 2, timeslot 10-11, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 90 requesting room L221 on day 5, timeslot 11-12, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 88 requesting room L221 on day 1, timeslot 1-2, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 74 requesting room XG14 on day 2, timeslot 10-11, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 75 requesting room CG04 on day 1, timeslot 12-1, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 79 requesting room XG14 on day 1, timeslot 1-2, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 78 requesting room L221 on day 6, timeslot 12-1, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 91 requesting room T101 on day 5, timeslot 11-12, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 92 requesting room T101 on day 5, timeslot 10-11, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 93 requesting room XG14 on day 2, timeslot 9-10, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 94 requesting room CG04 on day 1, timeslot 11-12, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 77 requesting room XG14 on day 4, timeslot 9-10, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 82 requesting room XG14 on day 4, timeslot 1-2, at 2 seconds 
2019-04-11 23:09:30 INFO - Client request 95 requesting room L221 on day 6, timeslot 9-10, at 2 seconds 
